title = Problem-4 Plot
variables = x,y,temp
zone i=100, j=100, f=point
0.305	0.025	585.305
0.315	0.025	585.82
0.325	0.025	586.303
0.335	0.025	586.758
0.345	0.025	587.187
0.355	0.025	587.591
0.365	0.025	587.974
0.375	0.025	588.336
0.385	0.025	588.68
0.395	0.025	589.005
0.405	0.025	589.315
0.415	0.025	589.609
0.425	0.025	589.889
0.435	0.025	590.155
0.445	0.025	590.409
0.455	0.025	590.651
0.465	0.025	590.883
0.475	0.025	591.103
0.485	0.025	591.314
0.495	0.025	591.516
0.505	0.025	591.709
0.515	0.025	591.893
0.525	0.025	592.07
0.535	0.025	592.239
0.545	0.025	592.4
0.555	0.025	592.555
0.565	0.025	592.704
0.575	0.025	592.846
0.585	0.025	592.982
0.595	0.025	593.113
0.605	0.025	593.238
0.615	0.025	593.358
0.625	0.025	593.472
0.635	0.025	593.582
0.645	0.025	593.687
0.655	0.025	593.788
0.665	0.025	593.885
0.675	0.025	593.977
0.685	0.025	594.065
0.695	0.025	594.15
0.705	0.025	594.23
0.715	0.025	594.307
0.725	0.025	594.38
0.735	0.025	594.451
0.745	0.025	594.517
0.755	0.025	594.58
0.765	0.025	594.641
0.775	0.025	594.698
0.785	0.025	594.752
0.795	0.025	594.803
0.805	0.025	594.852
0.815	0.025	594.897
0.825	0.025	594.94
0.835	0.025	594.98
0.845	0.025	595.018
0.855	0.025	595.053
0.865	0.025	595.086
0.875	0.025	595.116
0.885	0.025	595.143
0.895	0.025	595.168
0.905	0.025	595.191
0.915	0.025	595.211
0.925	0.025	595.229
0.935	0.025	595.245
0.945	0.025	595.259
0.955	0.025	595.27
0.965	0.025	595.279
0.975	0.025	595.286
0.985	0.025	595.29
0.995	0.025	595.292

0.005	0.035	328.052
0.015	0.035	378.526
0.025	0.035	419.083
0.035	0.035	450.176
0.045	0.035	473.751
0.055	0.035	491.755
0.065	0.035	505.721
0.075	0.035	516.754
0.085	0.035	525.631
0.095	0.035	532.899
0.105	0.035	538.942
0.115	0.035	544.037
0.125	0.035	548.386
0.135	0.035	552.139
0.145	0.035	555.409
0.155	0.035	558.283
0.165	0.035	560.829
0.175	0.035	563.099
0.185	0.035	565.135
0.195	0.035	566.972
0.205	0.035	568.639
0.215	0.035	570.156
0.225	0.035	571.545
0.235	0.035	572.82
0.245	0.035	573.995
0.255	0.035	575.081
0.265	0.035	576.088
0.275	0.035	577.024
0.285	0.035	577.897
0.295	0.035	578.712
0.305	0.035	579.475
0.315	0.035	580.191
0.325	0.035	580.864
0.335	0.035	581.498
0.345	0.035	582.095
